height,depth,position,value
11.14114462,1.0282944,1.0282944,153.1954351
11.14191777,1.02752125,1.02752125,160.9210057
11.14269093,1.02674809,1.02674809,163.2557062
11.14346408,1.02597494,1.02597494,151.3347005
11.14423723,1.02520179,1.02520179,136.5301355
11.14501039,1.02442863,1.02442863,130.5488588
11.14578354,1.02365548,1.02365548,134.1954351
11.1465567,1.02288232,1.02288232,142.7442938
11.14732985,1.02210917,1.02210917,150.5488588
11.148103,1.02133602,1.02133602,152.5488588
11.14887616,1.02056286,1.02056286,153.1767118
11.14964931,1.01978971,1.01978971,148.8045649
11.15042246,1.01901656,1.01901656,144.0977175
11.15119562,1.0182434,1.0182434,148.0977175
11.15196877,1.01747025,1.01747025,149.6278531
11.15274192,1.0166971,1.0166971,144.3534237
11.15351508,1.01592394,1.01592394,140
11.15428823,1.01515079,1.01515079,141.3721469
11.15506139,1.01437763,1.01437763,146.9210057
11.15583454,1.01360448,1.01360448,152.8232882
11.15660769,1.01283133,1.01283133,155.2744294
11.15738085,1.01205817,1.01205817,155.1767118
11.158154,1.01128502,1.01128502,149.7068474
11.15892715,1.01051187,1.01051187,137.9812768
11.15970031,1.00973871,1.00973871,131.6465763
11.16047346,1.00896556,1.00896556,139.0187232
11.16124662,1.0081924,1.0081924,149.4698645
11.16201977,1.00741925,1.00741925,156.5488588
11.16279292,1.0066461,1.0066461,158.2744294
11.16356608,1.00587294,1.00587294,159.5488588
11.16433923,1.00509979,1.00509979,161.2744294
11.16511238,1.00432664,1.00432664,161.7255706
11.16588554,1.00355348,1.00355348,159.3534237
11.16665869,1.00278033,1.00278033,154.7255706
11.16743184,1.00200718,1.00200718,155.0977175
11.168205,1.00123402,1.00123402,158
11.16897815,1.00046087,1.00046087,159.0977175
11.16975131,0.99968771,0.99968771,163.3721469
11.17052446,0.99891456,0.99891456,168.0977175
11.17129761,0.99814141,0.99814141,171
11.17207077,0.99736825,0.99736825,170.7255706
11.17284392,0.9965951,0.9965951,169.4511412
11.17361707,0.99582195,0.99582195,167.1767119
11.17439023,0.99504879,0.99504879,163.0789943
11.17516338,0.99427564,0.99427564,155.5301356
11.17593654,0.99350248,0.99350248,149
11.17670969,0.99272933,0.99272933,149.2744294
11.17748284,0.99195618,0.99195618,147.8045649
11.178256,0.99118302,0.99118302,139.5301356
11.17902915,0.99040987,0.99040987,131.0789943
11.1798023,0.98963672,0.98963672,126.2744294
11.18057546,0.98886356,0.98886356,130.2931526
11.18134861,0.98809041,0.98809041,140.0977175
11.18212176,0.98731726,0.98731726,142.7255706
11.18289492,0.9865441,0.9865441,140.6278531
11.18366807,0.98577095,0.98577095,135.6278531
11.18444123,0.98499779,0.98499779,130.9022825
11.18521438,0.98422464,0.98422464,126.3534237
11.18598753,0.98345149,0.98345149,122.2744294
