position,height,thickness,hiatus_boundary,sed_min,sed_max
0,12.1694,0,FALSE,5,15
5.5,6.6694,0.5,FALSE,5,15
9.5,2.6694,0.01,TRUE,5,15
12.5,-0.3306,0,FALSE,5,15
