period,frequency,orbital_cycle
0.4056795,2.46500008,eccentricity
0.130719,7.649997323,eccentricity
0.123839,8.075000606,eccentricity
0.09886307,10.11500047,eccentricity
0.09487666,10.54000004,eccentricity
0.05044341,19.82419507,obliquity
0.0391,25.57544757,obliquity
0.02791299,35.82561381,obliquity
0.02303,43.42162397,precession
0.02179,45.89261129,precession
0.01868,53.53319058,precession
0.01853,53.96654074,precession
