n_ages,median,CI_2.5,CI_97.5
2,0.022887579913422437,0.028169951056235615,0.03350037553917598
4,0.023051275231890864,0.027267667927476754,0.0344899466926178
6,0.019359823820755743,0.02482799517961344,0.03154182404064728
8,0.009439910637057345,0.018238106694219332,0.02491011451490891
